clip_id,path,label,category,subject,original,original_present,dataset,split
79cc43cd56977fb8,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aagfhgtpmv.mp4,fake,FAKE,vudstovrck,vudstovrck.mp4,False,dfdc,val
404a5b388c7b7131,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aapnvogymq.mp4,fake,FAKE,jdubbvfswz,jdubbvfswz.mp4,False,dfdc,test
b53113f04d710c18,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\abarnvbtwb.mp4,real,REAL,abarnvbtwb,,True,dfdc,train
28c8b404ff9e6be0,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\abofeumbvv.mp4,fake,FAKE,atvmxvwyns,atvmxvwyns.mp4,True,dfdc,train
a6b577154fd69ceb,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\abqwwspghj.mp4,fake,FAKE,qzimuostzz,qzimuostzz.mp4,False,dfdc,train
241e43a5b41271d5,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\acifjvzvpm.mp4,fake,FAKE,kbvibjhfzo,kbvibjhfzo.mp4,False,dfdc,train
ea5f8552561cc295,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\acqfdwsrhi.mp4,fake,FAKE,ccfoszqabv,ccfoszqabv.mp4,True,dfdc,train
a3db23d0f714a165,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\acxnxvbsxk.mp4,fake,FAKE,fjlyaizcwc,fjlyaizcwc.mp4,False,dfdc,train
397beaeab16bb2ea,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\acxwigylke.mp4,fake,FAKE,ffcwhpnpuw,ffcwhpnpuw.mp4,False,dfdc,train
cf0f1e76eb2ace71,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aczrgyricp.mp4,fake,FAKE,slwkmefgde,slwkmefgde.mp4,False,dfdc,val
b77fedf792537842,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\adhsbajydo.mp4,fake,FAKE,fysyrqfguw,fysyrqfguw.mp4,False,dfdc,train
788639f1f146f43d,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\adohikbdaz.mp4,fake,FAKE,qjlhemtkxk,qjlhemtkxk.mp4,False,dfdc,train
0eff8a6f4c622ea1,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\adylbeequz.mp4,fake,FAKE,dlpoieqvfb,dlpoieqvfb.mp4,True,dfdc,train
78cb02775ec59515,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aelfnikyqj.mp4,real,REAL,aelfnikyqj,,True,dfdc,val
08b2ede7116e9d1a,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aelzhcnwgf.mp4,fake,FAKE,qzimuostzz,qzimuostzz.mp4,False,dfdc,train
4fba7d919e5c8682,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aettqgevhz.mp4,fake,FAKE,proiippuup,proiippuup.mp4,False,dfdc,val
9dd97ee617092f3f,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aevrfsexku.mp4,fake,FAKE,gxembgiarp,gxembgiarp.mp4,False,dfdc,test
e9eacedc4fdabf71,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\afoovlsmtx.mp4,real,REAL,afoovlsmtx,,True,dfdc,train
6bda26359bd4eb57,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\agdkmztvby.mp4,fake,FAKE,iufotyxgzb,iufotyxgzb.mp4,False,dfdc,train
c1a71a6c908ebd26,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\agqphdxmwt.mp4,fake,FAKE,aytzyidmgs,aytzyidmgs.mp4,True,dfdc,train
ca0259d927728bd6,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\agrmhtjdlk.mp4,real,REAL,agrmhtjdlk,,True,dfdc,test
d38b4628d6477ee1,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\ahbweevwpv.mp4,fake,FAKE,dkuayagnmc,dkuayagnmc.mp4,True,dfdc,train
c04466622ba1c19f,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\ahdbuwqxit.mp4,fake,FAKE,jomvcqqars,jomvcqqars.mp4,False,dfdc,train
17cce91202b69124,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\ahfazfbntc.mp4,fake,FAKE,sunqwnmlkx,sunqwnmlkx.mp4,False,dfdc,val
50c13b8881526f84,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\ahqqqilsxt.mp4,real,REAL,ahqqqilsxt,,True,dfdc,test
8452914c0bd25c40,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aipfdnwpoo.mp4,fake,FAKE,ygdgwyqyut,ygdgwyqyut.mp4,False,dfdc,val
2d76c8834363439a,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\ajqslcypsw.mp4,real,REAL,ajqslcypsw,,True,dfdc,val
4ba9526a1d75d508,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\ajwpjhrbcv.mp4,fake,FAKE,bzythlfnhq,bzythlfnhq.mp4,True,dfdc,train
d4968d15f3d33465,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aklqzsddfl.mp4,fake,FAKE,lyvlnqduqg,lyvlnqduqg.mp4,False,dfdc,train
64d6d8820105258c,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aknbdpmgua.mp4,fake,FAKE,yxyhvdlrgk,yxyhvdlrgk.mp4,False,dfdc,train
8330aeaa9f8f4397,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aknmpoonls.mp4,fake,FAKE,swedbyuehz,swedbyuehz.mp4,False,dfdc,train
5ec7c7ca1c5b80ac,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\akvmwkdyuv.mp4,fake,FAKE,xlbnmndmku,xlbnmndmku.mp4,False,dfdc,val
3e94b33680d5321b,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\akxoopqjqz.mp4,fake,FAKE,meawmsgiti,meawmsgiti.mp4,False,dfdc,train
5e90f2143108e8cc,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\akzbnazxtz.mp4,fake,FAKE,ppdpgwyjgm,ppdpgwyjgm.mp4,False,dfdc,test
5fa1b49682c0747b,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aladcziidp.mp4,fake,FAKE,fewcljwqkr,fewcljwqkr.mp4,False,dfdc,test
33a0cdc8dc50283c,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\alaijyygdv.mp4,fake,FAKE,cppdvdejkc,cppdvdejkc.mp4,True,dfdc,train
5797c263b4259f5e,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\alninxcyhg.mp4,fake,FAKE,tqhbgzfwsf,tqhbgzfwsf.mp4,False,dfdc,val
48cf43619af0a6bb,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\altziddtxi.mp4,fake,FAKE,meawmsgiti,meawmsgiti.mp4,False,dfdc,train
b995033ef801f784,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\alvgwypubw.mp4,fake,FAKE,vcxckqbaya,vcxckqbaya.mp4,False,dfdc,train
56ff952e327c7ea9,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\amaivqofda.mp4,fake,FAKE,xobhsemxmv,xobhsemxmv.mp4,False,dfdc,test
88567a994aad1580,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\amowujxmzc.mp4,fake,FAKE,xwcggrygwl,xwcggrygwl.mp4,False,dfdc,train
d847b7e97b030f9f,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\andaxzscny.mp4,fake,FAKE,fysyrqfguw,fysyrqfguw.mp4,False,dfdc,train
398062eab9cfcc7e,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aneclqfpbt.mp4,fake,FAKE,xxsxktyvzt,xxsxktyvzt.mp4,False,dfdc,train
8bfbc79a3b229860,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\anpuvshzoo.mp4,real,REAL,anpuvshzoo,,True,dfdc,test
22e60f9b50dff619,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\aorjvbyxhw.mp4,fake,FAKE,bulkxhhknf,bulkxhhknf.mp4,True,dfdc,train
625d5ef271297347,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\apatcsqejh.mp4,fake,FAKE,edyncaijwx,edyncaijwx.mp4,True,dfdc,train
45bd4e33c38d7465,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\apgjqzkoma.mp4,fake,FAKE,jkddywriuf,jkddywriuf.mp4,False,dfdc,train
ef077949863e99bb,data\raw\DFDC_data\deepfake-detection-challenge\train_sample_videos\apogckdfrz.mp4,fake,FAKE,uonshkejav,uonshkejav.mp4,False,dfdc,val
