clip_id,path,label,category,subject,dataset,split
dummy0000,synthetic/dummy0000.mp4,real,RV-RA,id000,dummy,train
dummy0001,synthetic/dummy0001.mp4,fake,FV-RA,id000,dummy,train
dummy0002,synthetic/dummy0002.mp4,fake,RV-FA,id001,dummy,train
dummy0003,synthetic/dummy0003.mp4,fake,FV-FA,id001,dummy,train
dummy0004,synthetic/dummy0004.mp4,real,RV-RA,id002,dummy,train
dummy0005,synthetic/dummy0005.mp4,fake,FV-RA,id002,dummy,train
dummy0006,synthetic/dummy0006.mp4,fake,RV-FA,id003,dummy,train
dummy0007,synthetic/dummy0007.mp4,fake,FV-FA,id003,dummy,train
dummy0008,synthetic/dummy0008.mp4,real,RV-RA,id004,dummy,train
dummy0009,synthetic/dummy0009.mp4,fake,FV-RA,id004,dummy,train
dummy0010,synthetic/dummy0010.mp4,fake,RV-FA,id005,dummy,train
dummy0011,synthetic/dummy0011.mp4,fake,FV-FA,id005,dummy,train
dummy0012,synthetic/dummy0012.mp4,real,RV-RA,id006,dummy,train
dummy0013,synthetic/dummy0013.mp4,fake,FV-RA,id006,dummy,train
dummy0014,synthetic/dummy0014.mp4,fake,RV-FA,id007,dummy,train
dummy0015,synthetic/dummy0015.mp4,fake,FV-FA,id007,dummy,val
dummy0016,synthetic/dummy0016.mp4,real,RV-RA,id008,dummy,val
dummy0017,synthetic/dummy0017.mp4,fake,FV-RA,id008,dummy,val
dummy0018,synthetic/dummy0018.mp4,fake,RV-FA,id009,dummy,val
dummy0019,synthetic/dummy0019.mp4,fake,FV-FA,id009,dummy,val
dummy0020,synthetic/dummy0020.mp4,real,RV-RA,id010,dummy,test
dummy0021,synthetic/dummy0021.mp4,fake,FV-RA,id010,dummy,test
dummy0022,synthetic/dummy0022.mp4,fake,RV-FA,id011,dummy,test
dummy0023,synthetic/dummy0023.mp4,fake,FV-FA,id011,dummy,test
